gene	functional_class	priority_reason	next_minimal_action	study_ids	source_urls
LDHA	有干预但情境/方向分歧	急性干预/过表达与稳定shRNA近完全沉默无效有冲突	比较同工酶、克隆适应、培养和时间，不选择性删反证	S057; S058	"https://www.nature.com/articles/srep21735
https://pubmed.ncbi.nlm.nih.gov/28314283/"
LDHB	有干预但情境/方向分歧	癌细胞依赖与CAF缺失促转移相反，另有NK文章方向疑点	按细胞来源整理功能方向并核查公开扰动资源，暂停统一抑制主张	S059; S060; S061	"https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an
https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate
https://pubmed.ncbi.nlm.nih.gov/38525901/"
MAT2A	功能线索待方法/模型核定	他莫昔芬耐药文章只读取部分摘要，直接构建未核实	优先补完整摘要/正文，而不是仅据通路上调认定依赖	S064	https://pubmed.ncbi.nlm.nih.gov/26418898/
MDH2	有乳腺癌遗传干预报告	2025已有遗传加多组学，可能提供公开扰动数据	先查数据可获得性和苹果酸是否直接变化；不把对接计成功能	S062	https://pubmed.ncbi.nlm.nih.gov/41179294/
NAMPT	有干预但情境/方向分歧	基因抑制增强转移与部分药物抑制生长并存	拆分原发增长、迁移/转移、内分泌耐药和宿主效应	S069; S070; S071	"https://pubmed.ncbi.nlm.nih.gov/25263164/
https://pubmed.ncbi.nlm.nih.gov/31141164/
https://doi.org/10.1021/acs.jmedchem.6c00454"
PANK2	功能线索待方法/模型核定	PI3K-CoA论文主要功能涉及PANK4，PANK2归属未决	只核定PANK2构建、模型与终点，不转移PANK4证据	S075	https://pubmed.ncbi.nlm.nih.gov/35896750/
PCYT1A	功能线索待方法/模型核定	BPIS脂质积累/死亡研究有线索，但特异操作未确认	查PCYT1A直接敲低/回补及药物特异性	S077	https://pubmed.ncbi.nlm.nih.gov/37230459/
PMM2	有乳腺癌遗传干预报告	ESR1 Y537S耐药背景有明确遗传作用，但CAMP无该分型证明	先核查可获取的突变分层或扰动数据；不重做未分型总体相关	S086	https://pubmed.ncbi.nlm.nih.gov/38266771/
PRODH2	有乳腺癌遗传干预报告	2025已有羟脯氨酸—骨转移机制，患者相关不显著不能抹去功能	查独立骨转移患者/公开扰动支持；不照搬已发表SLC7A11/IL8机制	S091	https://pubmed.ncbi.nlm.nih.gov/40749014/
RFK	一手访问受阻的预印本线索	存在TNBC预印本线索，但一手页面访问受阻	先取得一手全文/发表状态，当前不计为已核实遗传功能	S122	https://www.researchsquare.com/article/rs-7709970/v1
SHMT1	功能线索待方法/模型核定	新线索主要在ZNF526上游，SHMT1直接实验待定位	明确SHMT1构建和终点，别转用SHMT2功能	S096	https://pubmed.ncbi.nlm.nih.gov/41267037/
SLC6A8	功能线索待方法/模型核定	缺氧TNBC肌酸存活线索有价值，具体遗传构建未逐项核定	先补方法和营养条件，不把肌酸补充等同转运体单独作用	S100	https://doi.org/10.1186/s13046-021-01933-7
TAT	功能线索待方法/模型核定	DNMT/药物线索有但TAT本体构建和验证未核实	逐图核查直接遗传证据；不把有毒diazinon当可用治疗	S112	https://www.mdpi.com/2218-273X/14/9/1088
UPP1	有乳腺癌遗传干预报告	2025中性粒细胞—尿嘧啶—转移前肺微环境已有功能，bulk关联近零	优先研究细胞来源和独立患者背景；不受q门槛排除，也不宣称首次机制	S113	https://pubmed.ncbi.nlm.nih.gov/40702342/
