study_id	genes	source_url	title	year	review_scope	model	intervention	outcome	metabolite_readout	limits	evidence_class	intervention_direction	web_ref	novelty_note	bibliography_note	publication_integrity_note	new_patient_or_experimental_data	is_legacy_only	source_publication_key	same_study_group
S011	BBOX1	https://pubmed.ncbi.nlm.nih.gov/32690540/	Identification of BBOX1 as a Therapeutic Target in Triple-Negative Breast Cancer	2020	原始研究摘要	TNBC细胞、正常乳腺细胞对照及体内肿瘤模型	siRNA/shRNA遗传耗竭；药理抑制	TNBC生长、细胞周期和存活受损；所测正常乳腺细胞影响较小；体内肿瘤生长下降	IP3R3稳定性、钙释放、呼吸及糖酵解；未证明CAMP去氧肉碱介导	有限正常细胞比较不是临床安全；机制为酶依赖的BBOX1–IP3R3联系，不能称催化无关	GENETIC_BRCA	特定TNBC模型抑制BBOX1	turn565089search0	2020已有靶点论文；新增价值需在CAMP底物关系/适用亚型，而非再宣布新靶点	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/32690540	https://pubmed.ncbi.nlm.nih.gov/32690540
S012	BCAT1	https://pubmed.ncbi.nlm.nih.gov/28319069/	The branched-chain amino acid transaminase 1 sustains growth of antiestrogen-resistant and ERα-negative breast cancer	2017	原始研究摘要	抗雌激素耐药、ER阴性/HER2阳性及TNBC模型；原位TNBC异种移植	慢病毒BCAT1 shRNA；过表达	敲低抑制增殖、迁移、侵袭和原位肿瘤；过表达使敏感细胞在抗雌激素下仍可生长	p27/pRB背景；未从摘要核实谷氨酸/异亮氨酸介导	激素背景特异，不能外推所有BRCA	GENETIC_BRCA	BCAT1抑制的特定模型依据	turn565089search13	已发表乳腺癌依赖/耐药背景，非新基因发现	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/28319069	https://pubmed.ncbi.nlm.nih.gov/28319069
S013	BCAT1	https://pubmed.ncbi.nlm.nih.gov/32523652/	BCATc modulates crosstalk between the PI3K/Akt and the Ras/ERK pathway regulating proliferation in triple negative breast cancer	2020	摘要及图注	MDA-MB-231等TNBC细胞；胰岛素/IGF-1背景	BCAT1 siRNA，20nM/72h见图注；过表达	增殖、迁移、侵袭减少，PI3K/Akt与Ras/ERK信号变化	未从所读部分证明CAMP代谢物介导	体外/刺激条件；BCATc=BCAT1，不是BCAT2	GENETIC_BRCA	BCAT1抑制方向	turn565089search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/32523652	https://pubmed.ncbi.nlm.nih.gov/32523652
S014	CDO1	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type	Frequent Inactivation of Cysteine Dioxygenase Type 1 Contributes to Survival of Breast Cancer Cells and Resistance to Anthracyclines	2013	原始研究摘要	乳腺癌细胞；原发乳腺癌甲基化/突变资料	恢复CDO1功能；5-azacytidine复表达作为非特异干预另列	ROS升高、细胞存活和生长降低、蒽环类敏感性增加	半胱氨酸代谢/ROS；未从摘要核实全部代谢物定量	去甲基化药非CDO1特异；不能把低表达基因自动列为抑制靶点	GENETIC_BRCA	恢复CDO1，而非抑制	turn565089search11	已有恢复型抑癌机制；价值在与CAMP半胱氨酸背景的对照	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type
S015	CEPT1	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179	Averrhoa carambola extractive inhibits breast cancer via regulating CEPT1 and LYPLA1	2023	原始研究摘要	乳腺癌体内外模型；具体细胞系未从摘要核实	DMDD及肿瘤靶向脂质体递送	制剂抗肿瘤效果；摘要不足以确认CEPT1基因特异干预	未从所读摘要明确代谢物定量	不能由标题写着regulating CEPT1就认定CEPT1敲除抑癌	DRUG_CONTEXT_BRCA	待解释	turn488885search6		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179
S016	CHKA	https://link.springer.com/article/10.1186/s13058-015-0532-0	Integrative analyses identify modulators of response to neoadjuvant aromatase inhibitors in patients with early breast cancer	2015	摘要及全文结果片段	SUM44、MDA-MB134-VI、T47D、MCF7、MCF7-LTED等ER阳性模型	CHKA siRNA SMARTpool	SUM44细胞存活减少，但MDA-MB134-VI未显示同样效应；调节ER驱动增殖	ER信号；未证实本项目乙醇胺介导	拷贝数相似不保证表达/依赖相同；必须保留细胞系阴性结果	GENETIC_BRCA	特定CHKA高表达/扩增背景抑制	turn488885search12	既有AI耐药研究；需背景限定	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://link.springer.com/article/10.1186/s13058-015-0532-0	https://link.springer.com/article/10.1186/s13058-015-0532-0
S017	CHPT1	https://pubmed.ncbi.nlm.nih.gov/27457520/	Estrogen Receptor α Promotes Breast Cancer by Reprogramming Choline Metabolism	2016	摘要及期刊全文结果片段	MCF7、T47D、他莫昔芬耐药LCC2；斑马鱼异种移植	CHPT1 siRNA	软琼脂生长、增殖和侵袭下降；斑马鱼早期播散下降，LCC2影响较强	雌激素诱导磷脂酰胆碱合成受CHPT1影响	斑马鱼早期播散非完整自发转移；CAMP的CDP-choline/CMP不能直接当膜PC通量	GENETIC_BRCA	ER阳性/耐药模型中CHPT1抑制	turn488885search1;turn488885search4	ER—胆碱机制已发表；适合作为乳腺亚型依赖候选	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/27457520	https://pubmed.ncbi.nlm.nih.gov/27457520
S018	CKB	https://pubmed.ncbi.nlm.nih.gov/35008190/	HIF-Dependent CKB Expression Promotes Breast Cancer Metastasis, Whereas Cyclocreatine Therapy Impairs Cellular Invasion and Improves Chemotherapy Efficacy	2022	摘要及图注	HIF相关PyMT乳腺肿瘤细胞、ER阴性/TNBC模型	CKB功能缺失/增加；cyclocreatine单独区分	侵袭、体内生长与肺转移受CKB调控；药物与化疗可增效	肌酸/磷酸肌酸相关能量通路；未证明CAMP肌酸低的原因	肌酸类似物不等于CKB专一抑制；治疗背景与宿主差异保留	GENETIC_BRCA	CKB抑制的模型依据	turn913908search0	已有转移研究，不能把CAMP关联当新机制	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/35008190	https://pubmed.ncbi.nlm.nih.gov/35008190
S019	CMAS	https://pubs.acs.org/doi/10.1021/acschembio.6b00433	Protein Sialylation Regulates a Gene Expression Signature that Promotes Breast Cancer Cell Pathogenicity	2016	全文结果片段及图注	231MFP三阴性乳腺癌；免疫缺陷鼠异种移植	稳定或诱导shCMAS	长期无血清存活和异种移植生长降低；蛋白唾液酸化改变	靶向代谢组、唾液酸测量；己糖胺相关代谢物改变	机制不等于某单一游离代谢物；作者未完全解析转录变化原因	GENETIC_BRCA	特定细胞模型CMAS降低	turn913908search9	已有代谢组+干预数据，可评估公开数据复用而非首次发现	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubs.acs.org/doi/10.1021/acschembio.6b00433	https://pubs.acs.org/doi/10.1021/acschembio.6b00433
S020	CMAS	https://www.nature.com/articles/s41467-026-73401-9	Tumor sialylation regulates G-CSF stability and promotes neutrophil-mediated immunosuppression in breast cancer	2026	全文结果片段	4T1同系乳腺癌；BALB/c乳腺脂肪垫原位模型	Cmas敲除	体外生长相近，但免疫完整宿主体内生长下降；CD8 T细胞和免疫抑制背景改变	唾液酸化，SNA/糖组学确认	不能拿体外无依赖判为无功能；游离Neu5Ac不是唾液酸化总量；未宣称已逐图复核	GENETIC_BRCA	肿瘤细胞CMAS敲除在免疫背景的作用	turn913908search1	2026新原始研究已覆盖免疫机制，研究增量应具体化	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://www.nature.com/articles/s41467-026-73401-9	https://www.nature.com/articles/s41467-026-73401-9
S021	CMPK1	https://pubmed.ncbi.nlm.nih.gov/27558661/	Prognostic significance of nuclear expression of UMP-CMP kinase in triple negative breast cancer patients	2016	原始研究摘要	461例TNBC组织/IHC及GSEA	观察性核表达与预后分析；未见基因特异干预	预后相关证据，不等于功能依赖	未核实对应CAMP代谢物变化	circ-CMPK1非小细胞肺癌研究不归属BRCA CMPK1编码蛋白功能	ASSOCIATION_ONLY	待解释	turn913908search15		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/27558661	https://pubmed.ncbi.nlm.nih.gov/27558661
S022	CPT1A	https://pubmed.ncbi.nlm.nih.gov/34514415/	CPT1A and fatty acid β-oxidation are essential for tumor cell growth and survival in hormone receptor-positive breast cancer	2021	原始研究摘要	HR阳性luminal细胞及原位异种移植；拷贝数11q13-14背景	遗传降低/增加CPT1A；FAO药物抑制另列	增殖、存活、克隆和乳腺球形成受影响；药理抑制体内生长、促进凋亡	FAO	不同亚型/异构体；广谱FAO药物不能单独证明CPT1A专一作用	GENETIC_BRCA	HR阳性模型CPT1A抑制	turn738648search4	已有乳腺功能证据，需与CAMP棕榈酰肉碱关系区分	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/34514415	https://pubmed.ncbi.nlm.nih.gov/34514415
S023	CPT1A	https://pubmed.ncbi.nlm.nih.gov/26799588/	Carnitine palmitoyl transferase-1A (CPT1A): a new tumor specific target in human breast cancer	2016	摘要及图注	MCF7、SK-BR3、MDA-MB-231	CPT1A transcript variant2 siRNA	凋亡增加；HDAC活性和组蛋白乙酰化改变	核变体不保留经典transferase活性	核CPT1A-v2不能直接作为棕榈酰肉碱转运/FAO催化证据	GENETIC_BRCA	异构体特异干预，不能直接外推总CPT1A	turn738648search0		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/26799588	https://pubmed.ncbi.nlm.nih.gov/26799588
S024	CPT1A; CPT2	https://pubmed.ncbi.nlm.nih.gov/31803610/	CPT1A/2-Mediated FAO Enhancement-A Metabolic Target in Radioresistant Breast Cancer	2019	摘要及图注	MCF7/C6、MDA-MB-231/C4放射耐药及衍生干细胞	CRISPR CPT1A/CPT2缺失；FAO抑制药物	放射诱导ERK、侵袭性生长和放射耐受下降	FAO检测	放射应激/耐药模型，不是所有未治疗BRCA；药物部分不可单独归属	GENETIC_BRCA	放射耐药背景CPT1A/CPT2降低	turn738648search3		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/31803610	https://pubmed.ncbi.nlm.nih.gov/31803610
S025	CPT1B	https://pubmed.ncbi.nlm.nih.gov/29249690/	JAK/STAT3-Regulated Fatty Acid β-Oxidation Is Critical for Breast Cancer Stem Cell Self-Renewal and Chemoresistance	2018	原始研究摘要	乳腺癌干细胞、脂肪细胞瘦素及化疗耐药模型	JAK/STAT3、FAO或瘦素阻断；CPT1B具体敲低待全文定位	干细胞自我更新和化疗耐受受FAO通路调节	FAO与CPT1B表达	当前摘要不能把上游/FAO药物全归属CPT1B基因直接干预	PATHWAY_CONTEXT_BRCA	CPT1B/FAO轴背景，直接靶点级别待核实	turn738648search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/29249690	https://pubmed.ncbi.nlm.nih.gov/29249690
S026	CPT2	https://pubmed.ncbi.nlm.nih.gov/33207079/	HRD1 inhibits fatty acid oxidation and tumorigenesis by ubiquitinating CPT2 in triple-negative breast cancer	2021	摘要及图注	MDA-MB-231等TNBC；谷氨酰胺缺乏/HRD1敲低背景	抑制CPT2表达，结合HRD1扰动	降低HRD1敲低所致体内外生长增加；代谢补偿与CB839响应不同	FAO与谷氨酰胺替代燃料	摘要中ubiquitinates and stabilizes措辞与降解叙述需全文核对，不复制为确定分子方向	GENETIC_BRCA	营养应激/HRD1背景下CPT2降低	turn738648search5		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/33207079	https://pubmed.ncbi.nlm.nih.gov/33207079
S027	CS; FH	https://pubmed.ncbi.nlm.nih.gov/36866961/	MAEL facilitates metabolic reprogramming and breast cancer progression by promoting the degradation of citrate synthase and fumarate hydratase via chaperone-mediated autophagy	2023	原始研究摘要	乳腺癌细胞；具体细胞系未从摘要核实	CS/FH过表达救援MAEL作用；MAEL/溶酶体相关干预	CS和/或FH恢复可逆转MAEL促恶性行为；氧化磷酸化—糖酵解转换	CS/FH蛋白降解和代谢通路	救援背景不同于单基因普遍抑癌；不把CS活性观测当CS敲除	GENETIC_BRCA	在MAEL背景恢复CS/FH；非建议抑制	turn799023search9		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/36866961	https://pubmed.ncbi.nlm.nih.gov/36866961
S028	CTNS	https://pubmed.ncbi.nlm.nih.gov/37751742/	Lysosomal cyst(e)ine storage potentiates tolerance to oxidative stress in cancer cells	2023	原始研究摘要	乳腺癌氧化应激、化疗及溶酶体储存模型	主要为MFSD12/mTORC1调节；CTNS直接肿瘤终点扰动待全文核实	CTNS介导释放参与GSH维持；MFSD12突变抑制肿瘤	溶酶体cyst(e)ine储存/释放与GSH	不能把MFSD12干预产生的肿瘤结果全部算CTNS抑制效果	PATHWAY_CONTEXT_BRCA	待解释	turn799023search1		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/37751742	https://pubmed.ncbi.nlm.nih.gov/37751742
S029	CRAT	https://academic.oup.com/endo/article/167/1/bqaf168/8320418	Androgen Receptors Promote Oxidative Phosphorylation and Resistance to Palmitate Lipotoxicity in ER-Mutant Breast Cancer	2026	原始研究可见结果片段	ESR1突变MCF7/T47D乳腺癌	Enzalutamide/雄激素受体背景；CRAT直接扰动待核实	CRAT表达在部分模型随AR抑制降低；T47D短时响应不同	短链酰基肉碱与OXPHOS背景	AR药物不是CRAT专一功能实验；题录卷期2026/在线2025	PATHWAY_CONTEXT_BRCA	待解释	turn799023search7		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://academic.oup.com/endo/article/167/1/bqaf168/8320418	https://academic.oup.com/endo/article/167/1/bqaf168/8320418
S030	DPYD	https://pubmed.ncbi.nlm.nih.gov/24040364/	53BP1 sensitizes breast cancer cells to 5-fluorouracil	2013	原始研究摘要	乳腺癌细胞及裸鼠异种移植	53BP1增加/降低，5-FU处理	53BP1影响5-FU敏感性；TS和DPYD为相关下游	未证明CAMP尿嘧啶关系介导	主要干预是53BP1；不能全部归为DPYD特异扰动	PATHWAY_CONTEXT_BRCA	待解释	turn395728search9		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/24040364	https://pubmed.ncbi.nlm.nih.gov/24040364
S031	ETNK1	https://pubmed.ncbi.nlm.nih.gov/38694857/	MiR-103a-3p Promotes Tumorigenesis of Breast Cancer by Targeting ETNK1	2024	原始研究摘要	MDA-MB-231及移植瘤	miR抑制/模拟、OE-ETNK1；摘要又写ETNK1-knockdown	方法、结果和结论对干预方向有内部不一致	未见乙醇胺/磷酸乙醇胺因果测量	需全文图和构建核查，不能给抑制/恢复方向	CONFLICTED_REPORT	待解释	turn395728search15		title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/38694857	https://pubmed.ncbi.nlm.nih.gov/38694857
S032	ETNK1	https://pubmed.ncbi.nlm.nih.gov/42003071/	Cyclophosphamide Induces Autophagy-Dependent Ferroptosis Through Promoting ETNK1 Expression in Breast Cancer Cells	2026	原始研究摘要	MCF7、4T1细胞和MCF7裸鼠移植瘤	CTX处理；ETNK1降低；自噬抑制	ETNK1降低逆转CTX对存活、铁死亡与自噬的作用，体内外均报告	Fe2+、MDA、GSH、ROS；不是乙醇胺反应测量	治疗条件下支持ETNK1参与；不是ETNK1抑制可普遍抗肿瘤。与2024研究作者单位相近，不计独立患者验证	GENETIC_BRCA	保留ETNK1有利于CTX反应的假说，非抑制建议	turn395728search6	新增2026治疗情境；需核查药物活化与培养条件及完整构建	title为题名或内容概述；唯一识别以URL/PMID/DOI为准，不把概述当逐字原题	本轮未对全部记录逐一完成撤稿/更正数据库核验；需在主线定稿前复核	NO	False	https://pubmed.ncbi.nlm.nih.gov/42003071	https://pubmed.ncbi.nlm.nih.gov/42003071
