evidence_id	gene	year	PMID	DOI	source_url	evidence_topic_cn	model_cn	intervention_cn	outcome_cn	limitation_cn	applicability_cn	review_depth_cn	metabolic_mediation_cn	molecular_object_cn	integrity_scope_cn
E29	SLC6A17	2008	18768736	10.1124/mol.108.050005	https://pubmed.ncbi.nlm.nih.gov/18768736/	中性氨基酸运输的神经细胞证据	PC12、转染CHO及囊泡相关系统	siRNA与异源表达，底物摄取测量	支持脯氨酸、亮氨酸等中性氨基酸运输	主要神经/异源系统；不能自动解释为CRC癌细胞质膜摄取	非癌生化/运输依据	原始研究摘要	有底物运输实验；无CRC生长干预证据	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E30	SLC6A17	2009	19147495	10.1074/jbc.M806407200	https://pubmed.ncbi.nlm.nih.gov/19147495/	SLC6A17的中性氨基酸运输性质	异源运输/神经相关实验系统	转运体表达与底物特异性试验	描述中性氨基酸转运特征	非CRC模型；高患者相关不替代细胞来源与探针核实	非癌生化/运输依据	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E31	HAGH	2026		10.3390/antiox15020171	https://www.mdpi.com/2076-3921/15/2/171	Glyoxalase II在前列腺模型中的功能	PC3、DU145前列腺癌	HAGH/Glo2敲低或过表达	报告D-乳酸及FAK/Src相关迁移/侵袭变化	非CRC；不可把GLO1研究当HAGH，亦不能直接解释GSH关联	其他癌种，仅背景	原始论文可访问摘要/选定结果	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E32	NT5C3A	2014	25000516		https://pubmed.ncbi.nlm.nih.gov/25000516/	AML药物遗传学不是CRC干预	急性髓系白血病患者、阿糖胞苷背景	遗传/药物反应分析	提供药物反应相关资料	非CRC，且不是当前基因在CRC的直接扰动；不与NT5C2混用	其他疾病/关联背景，不计功能支持	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E33	SLC15A3	2026	42454485	10.1172/JCI199709	https://www.jci.org/articles/view/199709	MYC淋巴瘤6-MP耐药中的溶酶体二肽机制	MYC驱动B细胞淋巴瘤及6-MP耐药	SLC15A3相关遗传干预与mTORC1研究	报告溶酶体二肽/营养感应相关耐药机制	不是CRC；未证明CAMP肌肽关系或CRC功能	其他癌种，仅背景	原始论文可访问正文/结果	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E34	SLC15A3	2025	39719710	10.1016/j.str.2024.11.019	https://pubmed.ncbi.nlm.nih.gov/39719710/	SLC15A3/A4转运体结构	转运体结构/生化系统	结构与功能表征	支持相关转运体的结构功能背景	结构研究不是CRC抗肿瘤效应；不能把SLC15A4结果全归到SLC15A3	非癌生化/结构依据	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E35	SLC7A8	2018	30419950		https://pubmed.ncbi.nlm.nih.gov/30419950/	LAT2与胰腺癌药物耐受	胰腺癌细胞、吉西他滨背景	LAT2相关表达/干预及代谢信号研究	报告氨基酸相关mTOR/耐药机制	非CRC；LAT1/SLC7A5与LAT2/SLC7A8是不同基因	其他癌种，仅背景	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E36	UAP1	2015	25241896	10.1038/onc.2014.307	https://pubmed.ncbi.nlm.nih.gov/25241896/	UAP1与前列腺癌糖基化适应	前列腺癌模型	UAP1降低与糖基化相关抑制剂	报告UAP1相关代谢适应及药物敏感性	不是CRC；UAP1L1不是UAP1，不把同通路其他酶干预转记	其他癌种，仅背景	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E37	UPP2	2011	21855639		https://pubmed.ncbi.nlm.nih.gov/21855639/	人UPP2结构与氧化还原调节	人UPP2蛋白生化/结构系统	重组蛋白与酶结构功能试验	支持UPP2的尿苷磷酸解及氧化还原相关性质	非CRC干预；UPP1已发表肿瘤功能不能转归UPP2	非癌生化/结构依据	原始研究摘要	有反应依据；无本轮可确认CRC表型介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E38	GSTT2	2007	17250773		https://pubmed.ncbi.nlm.nih.gov/17250773/	GSTT2启动子变异与CRC风险	人群遗传关联及启动子/结合实验	变异关联与调控功能试验	提供风险与表达调控背景	风险关联/启动子活性不等同CRC细胞敲低可抑瘤；与GSTT2B的探针区分待核	CRC关联/调控，不计肿瘤表型支持	原始研究摘要	未证明CAMP对应代谢物介导	线性基因/蛋白	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E39	ENTPD3	2024	38755598		https://pubmed.ncbi.nlm.nih.gov/38755598/	检索命中的是ENTPD2外泌体，非ENTPD3	CRC免疫微环境研究	ENTPD2相关外泌体/功能实验	该来源具有其他家族成员的功能结果	实际干预对象是ENTPD2；不能转归ENTPD3	错配对象，排除	原始研究摘要	未证明CAMP对应代谢物介导	ENTPD2，不是ENTPD3	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
E40	ASPA	2016	27705916		https://pubmed.ncbi.nlm.nih.gov/27705916/	ASPN检索近名误匹配	CRC相关ASPN研究	ASPN相关功能研究	检索中存在近名来源	ASPN/asporin不是ASPA/aspartoacylase；排除为ASPA功能依据	错配对象，排除	原始研究摘要	未证明CAMP对应代谢物介导	ASPN，不是ASPA	未作系统撤稿数据库/图像完整性审计；未见提示不等于认证无问题
